date,margin_debt
2012-05-31,315147.0
2012-06-30,320952.0
2012-07-31,313525.0
2012-08-31,320395.0
2012-09-30,339159.0
2012-10-31,342325.0
2012-11-30,351441.0
2012-12-31,355009.0
2013-01-31,388123.0
2013-02-28,390351.0
2013-03-31,403933.0
2013-04-30,408677.0
2013-05-31,401606.0
2013-06-30,407681.0
2013-07-31,412101.0
2013-08-31,414442.0
2013-09-30,432852.0
2013-10-31,445022.0
2013-11-30,456378.0
2013-12-31,478502.0
2014-01-31,487549.0
2014-02-28,502093.0
2014-03-31,487932.0
2014-04-30,475195.0
2014-05-31,475362.0
2014-06-30,502270.0
2014-07-31,498671.0
2014-08-31,501000.0
2014-09-30,503901.0
2014-10-31,492888.0
2014-11-30,496341.0
2014-12-31,495756.0
2015-01-31,485872.0
2015-02-28,504923.0
2015-03-31,518055.0
2015-04-30,549964.0
2015-05-31,541671.0
2015-06-30,547957.0
2015-07-31,530744.0
2015-08-31,515960.0
2015-09-30,497279.0
2015-10-31,513941.0
2015-11-30,515410.0
2015-12-31,503444.0
2016-01-31,487200.0
2016-02-29,474156.0
2016-03-31,483909.0
2016-04-30,495178.0
2016-05-31,489867.0
2016-06-30,487636.0
2016-07-31,513221.0
2016-08-31,510157.0
2016-09-30,540615.0
2016-10-31,523760.0
2016-11-30,539972.0
2016-12-31,529372.0
2017-01-31,553557.0
2017-02-28,568637.0
2017-03-31,577674.0
2017-04-30,590797.0
2017-05-31,582764.0
2017-06-30,584258.0
2017-07-31,594414.0
2017-08-31,596567.0
2017-09-30,606334.0
2017-10-31,607838.0
2017-11-30,627422.0
2017-12-31,642798.0
2018-01-31,665716.0
2018-02-28,645064.0
2018-03-31,645235.0
2018-04-30,652303.0
2018-05-31,668940.0
2018-06-30,646931.0
2018-07-31,652790.0
2018-08-31,652395.0
2018-09-30,648126.0
2018-10-31,607645.0
2018-11-30,592593.0
2018-12-31,554285.0
2019-01-31,568433.0
2019-02-28,581205.0
2019-03-31,574013.0
2019-04-30,588721.0
2019-05-31,568751.0
2019-06-30,596304.0
2019-07-31,602139.0
2019-08-31,564894.0
2019-09-30,555910.0
2019-10-31,554604.0
2019-11-30,563482.0
2019-12-31,579221.0
2020-01-31,561812.0
2020-02-29,545127.0
2020-03-31,479291.0
2020-04-30,524696.0
2020-05-31,552543.0
2020-06-30,584676.0
2020-07-31,613830.0
2020-08-31,645547.0
2020-09-30,654324.0
2020-10-31,659313.0
2020-11-30,722118.0
2020-12-31,778037.0
2021-01-31,798605.0
2021-02-28,813680.0
2021-03-31,822551.0
2021-04-30,847186.0
2021-05-31,861626.0
2021-06-30,882103.0
2021-07-31,844324.0
2021-08-31,911545.0
2021-09-30,903117.0
2021-10-31,935862.0
2021-11-30,918598.0
2021-12-31,910021.0
2022-01-31,829637.0
2022-02-28,835255.0
2022-03-31,799660.0
2022-04-30,772940.0
2022-05-31,752944.0
2022-06-30,683445.0
2022-07-31,696781.0
2022-08-31,687787.0
2022-09-30,664009.0
2022-10-31,649618.0
2022-11-30,643783.0
2022-12-31,606659.0
2023-01-31,641228.0
2023-02-28,624379.0
2023-03-31,645429.0
2023-04-30,631949.0
2023-05-31,644170.0
2023-06-30,681228.0
2023-07-31,709834.0
2023-08-31,689185.0
2023-09-30,680846.0
2023-10-31,635276.0
2023-11-30,660887.0
2023-12-31,700774.0
2024-01-31,701975.0
2024-02-29,742963.0
2024-03-31,784136.0
2024-04-30,775464.0
2024-05-31,809431.0
2024-06-30,809322.0
2024-07-31,810835.0
2024-08-31,797162.0
2024-09-30,813211.0
2024-10-31,815369.0
2024-11-30,890852.0
2024-12-31,899168.0
2025-01-31,937253.0
2025-02-28,918144.0
2025-03-31,880316.0
2025-04-30,850558.0
2025-05-31,920960.0
2025-06-30,1007961.0
2025-07-31,1022548.0
2025-08-31,1059723.0
2025-09-30,1126494.0
2025-10-31,1183654.0
2025-11-30,1214321.0
2025-12-31,1225597.0
2026-01-31,1279042.0
2026-02-28,1253192.0
2026-03-31,1220922.0
2026-04-30,1304281.0
2026-05-31,1415557.0
2026-06-30,1502072.0
2026-07-31,1417225.0
2026-08-31,1453832.0
